TF,t
HMX3,-1.0815901129213508
HNF1B,1.4090828606877785
HNF4A,-0.018181669386544464
HNF4G,0.5805839272429492
HOMEZ,-4.877860232724455
HOXA1,-0.08513883495975472
HOXA11,-0.0015956904130627627
HOXA13,-1.5273718988233664
HOXA2,-0.931988249635878
HOXA3,-2.2937415019045737
HOXA4,-0.2015369875974506
HOXA5,0.6185544107887722
HOXA6,-1.603997164638575
HOXA7,-2.2709600124495957
HOXA9,0.025801344249862353
HOXB13,-1.4338470141093005
HOXB2,-1.9363750405385356
HOXB3,-3.4279384038664915
HOXB4,-0.04838108245144396
HOXB5,-0.7759707472340769
HOXB6,-0.725884365759552
HOXB7,-0.851104591155721
HOXB8,0.3889389633742042
HOXC10,-1.1809874098088726
HOXC11,-0.8035021662232431
HOXC12,-0.8236891688248313
HOXC13,-1.2748325942704304
HOXC4,-4.19339510758758
HOXC6,-2.2883433603000656
HOXC8,-1.4316584740412899
HOXC9,-2.85779970503084
HOXD11,-0.3635532853245274
HOXD12,-1.6595938139551003
HOXD13,-0.8045491099472186
HOXD3,0.20689193867000152
HOXD8,-2.5471195909881237
HOXD9,-0.5912625064827739
HSF1,1.0407856818951524
HSF2,0.21361603679496685
HSF4,-1.076182992283227
IKZF1,0.6784004914567313
IKZF2,-1.5300787943385605
IKZF3,2.4752136074489326
IKZF4,0.18864983438056093
IKZF5,0.21590591915817672
INSM1,0.23471668140735943
IRF1,0.6792445315016196
IRF2,1.8656371360324406
IRF3,-0.6813696798737312
IRF4,2.661874918687686
IRF5,-0.3543108689562858
IRF6,-1.2079004721445112
IRF8,-0.11463223601908423
IRF9,2.2182209359193332
IRX2,0.8045047937741805
IRX3,-1.104231476299127
IRX4,0.412814510544208
IRX5,-0.5007760009633925
IRX6,0.5817901515077896
ISL1,-0.3136436637115768
ISL2,-0.8067959055921833
ISX,-0.282579548261744
JDP2,-0.3516641124307021
JUN,4.094739726991525
JUNB,4.409003904142937
JUND,1.785905955860417
KAT7,-8.444546301404772
KDM2A,3.4124533861631634
KDM5B,0.5255548080387726
KLF1,3.7424068059058793
KLF10,-12.841802447777638
KLF11,3.6659440038566786
KLF12,2.687607348511879
KLF13,0.572203670275619
KLF14,-0.5137759893187851
KLF15,1.5970203966287049
KLF16,8.301025791611506
KLF2,1.1415945290292053
KLF3,0.10336507848100746
KLF4,0.5367764350821758
KLF5,0.8584070046826402
KLF6,5.22324239969285
KLF7,1.8349061477852477
KLF8,-5.141371380670551
KLF9,1.4320564994201035
KMT2A,-1.3179638515424144
KMT2B,-2.9578552498318182
L3MBTL1,-8.441880685185804
LBX1,0.48888355997788974
LBX2,-1.6406947429949876
LEF1,0.03483023695236022
LHX2,-1.5554332515123919
LHX3,0.07777413989546478
LHX4,-5.001077595908474
LHX6,0.41613820077807734
LHX8,-0.05004992554706426
LHX9,-0.282579548261744
LIN54,1.496498959518701
LMX1A,0.13434401552045605
LMX1B,-0.32768577898189244
LYL1,1.5459509058134993
MAF,0.355191201731207
MAFA,1.4405912672636862
MAFB,2.328014039487036
MAFF,2.550651140666901
MAFG,1.0672110820354077
MAFK,1.4380449504190744
MAX,2.771764569524227
MAZ,0.7461977846495395
MBD1,-0.9706660120620342
MBD2,0.7653470139844376
MBD3,4.47804328623885
MBD4,1.6684723512982373
MECOM,1.0175427578849099
MECP2,-0.27944939436291455
MEF2A,2.210094713520877
MEF2B,1.054243775033637
MEF2C,-0.7597221455324783
MEF2D,1.0375334821119575
MEIS1,-0.9234443849236975
MEIS2,-1.3231439346958478
MEIS3,1.598866029129804
MEOX1,-0.3681917137943484
MEOX2,-5.270165559540231
MESP1,-3.840376162082165
MGA,-4.222146250705269
MITF,3.6522867007491238
MIXL1,-1.3775016910529774
MKX,-2.080679788140598
MLX,-0.9051921568442594
MLXIP,3.4276368070962833
MLXIPL,0.760652633980069
MNT,-3.8943094260478546
MNX1,-1.582928301095804
MSX1,-3.529972004685136
MSX2,-1.4746184260919895
MTF1,5.000454018411527
MXD1,-12.41956760936022
MXD3,1.7087884519795653
MXD4,0.5057198002006784
MXI1,-2.978569497841714
MYB,1.7747162653695305
MYBL1,-0.21979851527651123
MYBL2,0.5229820177281237
MYC,0.5046874451627996
MYCL,-1.9846035762215148
MYCN,-1.1715009478465936
MYF6,1.7726346349414166
MYNN,3.589023067171029
MYOD1,1.0445817293723145
MYOG,0.5404084841312123
MYRF,1.696161159461681
MYT1,-1.8599622189877603
MYT1L,-0.7656300378468451
MZF1,-4.676044691938926
NANOG,-0.01609384398302017
NCOA1,1.267286105887771
NCOA2,-0.11297648107994958
NCOA3,1.137072533995163
NEUROD1,2.0042281834622333
NEUROD2,-1.008686204952361
NEUROG1,-1.3697620264657369
NEUROG2,-1.5658649077994244
NFAT5,-0.9810975023418702
NFATC1,2.3413370984433794
NFATC3,-3.065078972360086
NFATC4,-3.2840745355341583
NFE2,0.41921819155584505
NFE2L1,0.6008851501614805
NFE2L2,3.1779093255075175
NFE2L3,0.05889409143203731
NFIA,1.1522884099972244
NFIB,-5.493300493476942
NFIC,-1.307324482861436
