ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
PERM1,0.31041031551109466,6.145107537184497,1.1642497097220308,0.2522972185317395,0.9972652206254287,-5.214211902399214
KYAT3,0.28024822381935754,3.9906621223052228,1.0909803340361375,0.2840947277237212,0.9972652206254287,-5.214471550544785
EML4,-0.3439211263307884,4.859805930504642,-1.1639649727770207,0.2524110460811083,0.9972652206254287,-5.2145119285969495
ALDH5A1,-0.2780352776736441,5.574066246658071,-1.16341396217231,0.25263142632660374,0.9972652206254287,-5.215092334954674
TPCN2,0.314113483462064,4.319857953845719,1.1259987336429251,0.26815393516283026,0.9972652206254287,-5.2151302961701544
ZNF597,0.30875873837718926,3.986063828490759,0.9220172981602578,0.3667228353494255,0.9972652206254287,-5.215203638874591
MEGF9,-0.30611688483227084,4.925388545990054,-1.16297752514019,0.25280608144162475,0.9972652206254287,-5.215551876291438
EVC,-0.2857013601076286,4.043030866921039,-1.162626291273773,0.2534319002226952,0.9972652206254287,-5.215630652958931
CUBN,0.3104754857228844,4.054563290154756,0.9217707682947087,0.36640128013410767,0.9972652206254287,-5.215776655562332
ISY1,0.3044880219903767,4.527949079441856,1.1620894412574219,0.2531617495180058,0.9972652206254287,-5.216486485092475
FAM120A,0.2885319445622656,6.563031581958716,1.161531708276609,0.2533853015017148,0.9972652206254287,-5.217073101391144
SERPINH1,0.5331810666553274,5.255199977659635,1.1615008180976567,0.25339768717613603,0.9972652206254287,-5.217105583721055
BTF3,-0.22068152511524897,7.578466723936109,-1.1614264569866954,0.2534275046874567,0.9972652206254287,-5.217183774321159
CEP350,0.20336542679708547,7.6339708332647085,1.1602442928502696,0.25390187451897506,0.9972652206254287,-5.2184262006002164
YWHAH,-0.2718542968353379,4.724825932780958,-1.1602111317248571,0.2539151904594021,0.9972652206254287,-5.218461035393453
CCNJ,-0.3368848236219426,4.3002458937504215,-0.7900623172226213,0.43676024657656054,0.9972652206254287,-5.2186082815084625
RABGEF1,-0.17732780901838918,3.690384483819025,-0.40365295057071876,0.6908467223081938,0.9972652206254287,-5.2186596358879225
CYSTM1,0.269221876583849,8.301138497296936,1.1598661070641467,0.2540537661576005,0.9972652206254287,-5.218823419455169
ZNF800,0.36182384252821365,4.531775443460422,1.159707043462034,0.25411767095976073,0.9972652206254287,-5.218990452759608
CNNM1,-0.1676160830249005,3.663510376656046,-0.3995037952758089,0.694627342679635,0.9972652206254287,-5.219463047994231
MT-CYB,-0.22626952394595,14.786481489520813,-1.159146988482529,0.25434276950391266,0.9972652206254287,-5.219578401158316
HSPA4,0.28583273883863747,6.94500054377224,1.1576891471386972,0.25492938733976117,0.9972652206254287,-5.221107626292142
PDP1,-0.25476593172448503,8.577503407320576,-1.1575817197507197,0.25497265365090127,0.9972652206254287,-5.221220243948337
VAMP7,0.3154146112028515,4.7637658315666664,1.1573372305616707,0.2550711413820461,0.9972652206254287,-5.221476509636605
AP2A1,-0.3134203280890535,6.122168759050893,-1.15670808064935,0.2553247091684983,0.9972652206254287,-5.222135735578577
LUC7L,-0.339053685188647,4.950843133263811,-1.15613250313081,0.2557912226795808,0.9972652206254287,-5.222594830135914
ELOF1,0.32466244940422406,4.43843648669142,1.1181592708621548,0.2716812519958256,0.9972652206254287,-5.222883177497316
NAA40,0.3047267939583147,4.481612321961631,1.1555965918403335,0.25577312205823677,0.9972652206254287,-5.223299553079885
MANF,0.2548110248702784,3.831949503470289,0.9858717855141479,0.3324749731226748,0.9972652206254287,-5.223393499339403
SRRM1,-0.22662794882897241,7.539881747498955,-1.1554409997085338,0.25583593883670047,0.9972652206254287,-5.2234623884013915
MYOF,0.4316223676794415,4.738444324822857,1.1552297558978244,0.2561554713104393,0.9972652206254287,-5.223539379074594
IMPACT,0.3286920781972418,4.695910423621938,1.1552567194764853,0.2559103522553657,0.9972652206254287,-5.223655221251292
ENPP4,0.24400787973625349,6.717058133193696,1.1551702785554812,0.2559452630049279,0.9972652206254287,-5.223745664234468
METTL1,0.13656499452960702,3.8831380101076993,0.30028116738302846,0.7665963236966669,0.9972652206254287,-5.223947412020389
TNPO1,-0.21687708374319303,7.374449920919335,-1.1546018385471633,0.25617492395277963,0.9972652206254287,-5.22434026703438
CD40,0.34631158581997834,4.502181760409368,1.1545042784710569,0.25621435516136143,0.9972652206254287,-5.224442290319752
TIMP1,-0.4730099824498728,4.930775888454894,-1.1543002742061474,0.25629682252364694,0.9972652206254287,-5.224655601821439
PRKCE,0.3552752047657206,5.267507391152674,1.1540932662527361,0.2563805237760087,0.9972652206254287,-5.22487201862137
TOP3B,0.3230336305350461,4.4903889980540805,1.1154454575098092,0.2730812902654047,0.9972652206254287,-5.2254370984687295
KANK1,-0.26499129449693726,6.463619098098724,-1.1529210057001131,0.25685488750856306,0.9972652206254287,-5.22609688700686
ZC3H10,-0.27518857241183037,3.88603797072879,-0.5872349373474494,0.5645209048756481,0.9972652206254287,-5.226199985194332
HSPA12A,-0.3519642637337892,4.319466701925157,-1.1145648062219617,0.27319659797523915,0.9972652206254287,-5.226494183188582
PRRC2A,0.22435500894675986,7.110641421985842,1.15208947298159,0.2571917586073419,0.9972652206254287,-5.2269650426581595
RPL35,-0.17726751684164732,8.912139839452879,-1.1516293290901403,0.25737830991083027,0.9972652206254287,-5.227445204931302
MID1IP1,0.4218780006791061,6.18690802407745,1.1515220789815026,0.2574218052754952,0.9972652206254287,-5.227557095562346
SSBP4,-0.26612998917361974,3.6560216387537596,-0.7714935490410832,0.4506721855136294,0.9972652206254287,-5.227998527128991
REX1BD,0.29567914986692845,4.331187001202385,1.1130498851134873,0.27359615890082656,0.9972652206254287,-5.228176759026615
ARPC4,0.24891846992604583,3.8370268416857805,0.9802327084435631,0.3346681017053893,0.9972652206254287,-5.228697570796496
CCNL1,0.33273923549962614,6.805395587782818,1.1502922588060942,0.2579209403414376,0.9972652206254287,-5.228839442736126
